,0
0,0x2d8eac24e31e260ced8e2a115fffe5542584ee47
1,0x8a4b89d76a1a745a4a1adebd3793253fba0adadc
2,0x83334ef0c6f6396413c508a7762741e9fd8b20e9
3,0xf7e83ef8d92e87c004e69e9b72db18b71badf9da
4,0x1ab83223ee734ea5151e345841c4cfdd34c67d3c
5,0x53797a73169c9cec4b573db7139703152fe9e41d
6,0xead9d46a1601c7f09f3f0186010736b32e668a90
7,0x9441223797c55f5df7bfa4d60f35a84eecc7e535
8,0xc60debaa978d0c215c37859f8b59b07910afe807
9,0x6283511fc53c60c0a0a1848ac88ff46b5d2496ea
10,0xb6631e52e513eee0b8c932d7c76f8ccfa607a28e
11,0x4b85c3f0e56ba18714a966c4f56e08c413070904
12,0x803d4d168976f40d1f5b561bc831effa8289e732
13,0x42d4c197036bd9984ca652303e07dd29fa6bdb37
14,0x0e73925a42ca5b6c3398f8e92e0dcda52a6aa12e
15,0xb4ee72588b1bfb467d6693b63970cd4346d4eff5
16,0x9f5141e8715c6691e75188bda726df54c14721e4
17,0xe55c69cfd20cfa25651c72b84383de6104104eb4
18,0x4acb6af365d95a66a7433ad05458ecd9bb9761e2
19,0x5ba2650bea9c748e86824448fa2f046104d13b02
20,0xd39685f17e94662b831e3a2a7b9c633c29b46ce3
21,0xe6ea861295af4e0d0d7f331c7b950f7da3a9d265
22,0x17ccdda3914ab73f480feea2eca6381c2ce6d4b9
23,0x68575571e75d2cfa4222e0f8e7053f056eb91d6c
24,0xe855e6c1a63ba5a3f0b3737cd56690e16bea4f31
25,0x8c254640d1b9d27bf58bf6f6878d1c2647b4e5e7
26,0x817c6e2d3ab3ab9210a19ea47b24c523750eadc5
27,0x3e025504b92babf4bbbc20cbb28f2d04c1608247
28,0x722e895a12d2a11be99ed69dbc1fedbb9f3cd8fe
29,0x6a5dbf2fb5206ec8192620810c3edb6d5e62b188
30,0x7adc457434e8c57737ad2ace768a863865f2aabc
31,0xbe478151e2070b9d468de42ebf34275a9f35bf32
32,0xb736828404596f5a69c828996397ba629efb9cdb
33,0xf1846a6b331e2746e4a8ce2d792e7b385393f6f0
34,0x514e9525fa9681b651d6b83a57577de7f9ad8a9a
35,0x16c731c75a743a1b487b7914ef44b2f415707a5f
36,0x68114744a3c5e364b12c154300693642491696a7
37,0x693e608eb4e1ecb3107aa628f0b4f867eebbaa16
38,0x6caa5c6b9b690879bb229e6b19cb2b755c4efe5b
39,0xc508da4522783b3b65233760b5001cf9fa0f2d3d
40,0xff274170fef74eb2f181f900c3f14978a5c6a35a
41,0x97af0f60c1894bf63b440300ddf6b18102f22341
42,0xf9107317b0ff77ed5b7adea15e50514a3564002b
43,0x61751bc401f4eabe10a238661b4a60ba84910059
44,0xd6ff2fb2a0c3954aa55ea2e7014ae6ee95313e73
45,0x020cb5a75c25eeab93647f0fa973b4c6f5f5c238
46,0x5136cdfc4d2b1a74774f5137095f82f88af5ec99
47,0x7553fa99ab1f429551eec660708c08e14e30584f
48,0x2ada82c15e4101b9a92dcb6676a28a714d6d3c5e
49,0x0d24f692c05036602076b3f51242b5a34c55ee38
50,0x76c975477046b139aa77d3dc12ec48dcb2f520b3
51,0xbb030a0408edc41f3c61ba3f132c06e93eda68f4
52,0x05e362bef8c3519a945a65e187e052e23613902c
53,0xe5a8654631b3729f73ca3503ba09a5d3e11b46da
54,0xf627e5f4bad95a956468d8bb6ee20b119f992e96
55,0xa21dc5f85914834819102e889e622c027db65ba4
56,0x4085e9fb679dd2f60c2e64afe9533107fa1c18f2
57,0x5b4672cffee5e64a2a7d17c157abdb4edffbe3df
58,0x429a635ed4daf9529c07d5406d466b349ec34361
59,0x5c268ac0e831236011a583f288c26aadfe9f0225
60,0x0fd1035b4135c1747133e3c8ede600b5c3ff5485
61,0x5b63af43e882f6c0061195f1040b769e0dd1e21f
62,0xee6ce216cee9744bdc64cfb1c901d923d703b539
63,0x50a511bce2043f2eb8c8717152eb4a22dc888726
64,0xc90923827d774955dc6798fff540c4e2d29f2dbe
65,0xe88f42474046183f2367066cd940e74ded8085fe
66,0x48ddb4018ddc4b2d828799a9593e3cb4d69f9e1b
67,0x9927d618fadb02afff86a8ea7a2427a53182b711
68,0xc74f56547cc2490cb54d049a8e2f277042d2a625
69,0x1c5507310813a07c68f243960650380669450710
70,0x787b4b7ffef8eddad54f311039acf4c36fec9593
71,0x92917666b0ffbd39d4ce4fcf2df1c6c4808cfdb6
72,0x42ecfc3b1e2b76b8aaed9bd097ba9a316c38e1ea
73,0x02b6bd2420ccadc38726bd34bb7f5c52b3f4f3ff
74,0xd1b81213599f5ea2b1ba53738425e80da7b57b53
75,0x58f4f0106d26832823cc2bd2a57a41c5ff0fa520
76,0x5edd130efc31eff7c682bf4b5a24de639c9757de
77,0x073190779f31e33170545811d9415e0ee059586c
78,0x1a1f31cf613dd2e936e153e31cff8ff6918997ba
79,0xc35a8e70b0530d2bff51daedbcf752d8dafde91b
80,0xb609927c4d413b9075b07c62ada9dfe73abf90eb
81,0x6da7b7f64c73ff7985f2bf55c71c2b46c9e41a5a
82,0x22e3138934edd4374eb111e3b09ac067391605bf
83,0x09026105a2a3eb0b351fda27f8354b7de48489d0
