block_timestamp,block_number,transaction_hash,amount0,amount1,pair,from_address,token0,token1
2021-04-28 08:42:23 UTC,12327891,0x56d58da0bb197e88ed6f765e6eac89480aed9de88d298944f7350835ecb39ed6,372255951430,751090482673913939,0x02cde6be34a59ff01aa532d56956a3c339c26322,0xee1f07f88934c2811e3dcabdf438d975c3d62cd3,0x0a50c93c762fdd6e56d86215c24aaad43ab629aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-28 20:20:59 UTC,12331067,0x3c7f8087047612c0afaec3f3886c4ec9cf71134afd0bc8f6e0b22ed8bf6d6d0a,243394190876,500218727906683257,0x02cde6be34a59ff01aa532d56956a3c339c26322,0x83334ef0c6f6396413c508a7762741e9fd8b20e9,0x0a50c93c762fdd6e56d86215c24aaad43ab629aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-10 12:36:00 UTC,12010832,0x5e6bb3db8af06d688413447c14af8268395f722c481e278c6f37de64046e519a,2879024974496282241503,232468233831852991,0x05f21e62952566cefb77f5153ec6b83c14fb6b1d,0xe55c69cfd20cfa25651c72b84383de6104104eb4,0xaf9f549774ecedbd0966c52f250acc548d3f36e5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-25 10:00:59 UTC,12107445,0xc46cd5be59619499d120c03447a333eb230e78e5c75537a1ca2845e191ac9c4f,2033201692987155112625,3754452117894797360,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0xfca1430f46267ae2e44d52831dcda37058c5860a,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-04-03 15:50:25 UTC,12167522,0x26c50858968f0cea91b350e7c6822caddc98fcfeb847f3df1ec2a19e5ac128ff,22592472232857176947,24962944536098932,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0x17ccdda3914ab73f480feea2eca6381c2ce6d4b9,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-22 18:28:19 UTC,12090244,0x0cb0f4c94294dff93d48b81af73f87928a05390b6d939afb4c02e737e7b379ea,463635176329242411994,499535069444177967,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0x83334ef0c6f6396413c508a7762741e9fd8b20e9,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-24 22:17:59 UTC,12104238,0xeeb67fdeb02d77ddefc46c2dfeb8e1f9963c52dce5cbf4f90ee7d59f161ba9d2,800967240945504750090,1499474778218375077,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0x803d4d168976f40d1f5b561bc831effa8289e732,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-24 04:10:39 UTC,12099386,0xd7e0fea9a87797594e8bb10f516c0cc0131dca46a3177f931ccae35699787422,3378259298302226000,4992511187300851,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0x09026105a2a3eb0b351fda27f8354b7de48489d0,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-25 05:54:40 UTC,12106333,0xcda0709f484176df0514b157a54f6182cc8e1f47a52cb968fae82ec3127629b2,2652382553147272742229,5010498795389456309,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0x82e4d78c6c62d461251fa5a1d4deb9f0fe378e30,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2021-03-23 07:05:36 UTC,12093638,0x64fc16e3f8e5357a4012e0b5ffef00350c93b0423c9696dbcc3d3f208e17374f,4136619783244484306,4992515221140463,0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,0xb6631e52e513eee0b8c932d7c76f8ccfa607a28e,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
